ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
25697,type1,p4,nob/c,3.875
25698,type2,p3,b/c,0
25699,type1,p3,nob/c,4.5
25700,type1,p4,nob/c,3.99
25701,type1,p3,nob/c,4.375
25702,type1,p1,nob/c,4.375
25703,type1,p4,nob/c,3.5
25704,type2,p4,b/c,3.625
25705,type1,p3,nob/c,3.99
25706,type1,p4,nob/c,4.18
25707,type3,p3,nob/c,3.99
25708,type1,p3,nob/c,0
25709,type1,p3,nob/c,0
25710,type1,p4,nob/c,3.625
25711,type1,p4,nob/c,0
25712,type1,p3,nob/c,4.375
25713,type1,p4,nob/c,3.75
25714,type1,p4,nob/c,3.75
25715,type1,p4,nob/c,4.75
25716,type2,p4,b/c,3.99
25717,type1,p3,nob/c,3.75
25718,type1,p1,nob/c,4.125
25719,type1,p1,nob/c,0
25720,type1,p4,nob/c,0
25721,type2,p1,b/c,0
25722,type1,p3,nob/c,4.56
25723,type1,p3,nob/c,0
25724,type3,p3,nob/c,4.125
25725,type1,p1,nob/c,3.625
25726,type1,p4,nob/c,3.625
25727,type3,p4,nob/c,3.625
25728,type1,p4,nob/c,3.875
25729,type1,p4,nob/c,3.875
25730,type1,p4,nob/c,0
25731,type1,p4,nob/c,4
25732,type1,p4,nob/c,0
25733,type1,p3,nob/c,3.99
25734,type1,p3,nob/c,4.375
25735,type1,p3,nob/c,0
25736,type1,p4,nob/c,3.65
25737,type1,p4,nob/c,4.125
25738,type3,p3,nob/c,0
25739,type3,p1,nob/c,2.75
25740,type1,p3,nob/c,5.75
25741,type1,p3,nob/c,4.75
25742,type2,p4,b/c,0
25743,type1,p4,nob/c,4.25
25744,type1,p3,nob/c,4.5
25745,type1,p4,nob/c,3.25
25746,type1,p1,nob/c,4.99
25747,type1,p3,nob/c,4.125
25748,type1,p3,nob/c,3.375
25749,type1,p4,nob/c,4.18
25750,type1,p4,nob/c,0
25751,type2,p3,b/c,0
25752,type1,p1,nob/c,4.5
25753,type1,p1,nob/c,3.99
25754,type1,p3,nob/c,0
25755,type1,p4,nob/c,4
25756,type2,p3,b/c,0
25757,type1,p4,nob/c,3.99
25758,type1,p3,nob/c,0
25759,type1,p3,nob/c,3.75
25760,type2,p3,b/c,0
25761,type3,p4,nob/c,0
25762,type1,p1,nob/c,4.99
25763,type1,p3,nob/c,5.375
25764,type2,p3,b/c,4.625
25765,type2,p4,b/c,3.625
25766,type1,p1,nob/c,0
25767,type1,p4,nob/c,0
25768,type1,p3,nob/c,4.99
25769,type1,p3,nob/c,4.75
25770,type3,p3,nob/c,3.375
25771,type1,p3,nob/c,0
25772,type2,p3,b/c,3.125
25773,type1,p3,nob/c,4.375
25774,type3,p4,nob/c,3.625
25775,type1,p4,nob/c,4.25
25776,type1,p4,nob/c,3.5
25777,type1,p4,nob/c,3.5
25778,type1,p4,nob/c,3.75
25779,type2,p4,b/c,3.99
25780,type1,p4,nob/c,4.5
25781,type1,p3,nob/c,0
25782,type3,p4,nob/c,3.25
25783,type2,p1,b/c,0
25784,type1,p3,nob/c,4.625
25785,type2,p4,b/c,3.5
25786,type1,p1,nob/c,3.775
25787,type1,p4,nob/c,3.375
25788,type1,p3,nob/c,4.375
25789,type1,p4,nob/c,3.875
25790,type1,p3,nob/c,4.99
25791,type1,p1,nob/c,4.375
25792,type1,p3,nob/c,3.625
25793,type1,p3,nob/c,3.75
25794,type1,p4,nob/c,0
25795,type1,p4,nob/c,0
25796,type1,p3,nob/c,3.99
25797,type1,p3,nob/c,3.625
25798,type1,p4,nob/c,0
25799,type1,p4,nob/c,4.75
25800,type1,p4,nob/c,0
25801,type1,p1,nob/c,4.625
25802,type2,p3,b/c,4.125
25803,type1,p4,nob/c,3.5
25804,type2,p1,b/c,3.99
25805,type1,p3,nob/c,0
25806,type1,p4,nob/c,0
25807,type1,p3,nob/c,3.99
25808,type1,p4,nob/c,3.875
25809,type1,p3,nob/c,4.125
25810,type1,p3,nob/c,4.56
25811,type1,p1,nob/c,0
25812,type1,p4,nob/c,3.75
25813,type1,p1,nob/c,3.875
25814,type1,p4,nob/c,0
25815,type1,p4,nob/c,3.625
25816,type1,p4,nob/c,3.5
25817,type1,p1,nob/c,3.5
25818,type2,p3,b/c,4.375
25819,type1,p4,nob/c,4.625
25820,type1,p3,nob/c,5.19
25821,type2,p1,b/c,3.125
25822,type1,p3,nob/c,3.625
25823,type1,p3,nob/c,3.125
25824,type1,p4,nob/c,3.875
25825,type1,p1,nob/c,4
25826,type1,p1,nob/c,4.56
25827,type1,p3,nob/c,3.875
25828,type2,p4,b/c,0
25829,type1,p4,nob/c,3.75
25830,type1,p4,nob/c,3.875
25831,type3,p3,nob/c,3.99
25832,type2,p4,b/c,4.125
25833,type1,p4,nob/c,3.875
25834,type1,p4,nob/c,4.99
25835,type1,p4,nob/c,3.99
25836,type3,p3,nob/c,3.625
25837,type1,p3,nob/c,4.25
25838,type2,p3,b/c,3.25
25839,type1,p3,nob/c,0
25840,type1,p3,nob/c,3.75
25841,type2,p4,b/c,3.75
25842,type3,p3,nob/c,3.25
25843,type2,p3,b/c,3.75
25844,type3,p1,nob/c,3.99
25845,type1,p3,nob/c,0
25846,type1,p3,nob/c,4.99
25847,type1,p4,nob/c,4.75
25848,type2,p3,b/c,4.25
25849,type1,p4,nob/c,3.5
25850,type1,p3,nob/c,4.75
25851,type1,p3,nob/c,4.375
25852,type1,p3,nob/c,4.75
25853,type1,p4,nob/c,3.5
25854,type3,p4,nob/c,3.75
25855,type1,p1,nob/c,3.99
25856,type1,p1,nob/c,4.125
25857,type1,p1,nob/c,4.99
25858,type1,p3,nob/c,0
25859,type1,p3,nob/c,4.25
25860,type1,p3,nob/c,0
25861,type1,p3,nob/c,4.5
25862,type1,p4,nob/c,0
25863,type1,p3,nob/c,4.99
25864,type1,p4,nob/c,3.625
25865,type1,p4,nob/c,3.75
25866,type3,p4,nob/c,0
25867,type1,p1,nob/c,4.125
25868,type1,p1,nob/c,3.75
25869,type2,p3,b/c,3.75
25870,type1,p1,nob/c,4.56
25871,type1,p3,nob/c,3.5
25872,type1,p4,nob/c,3.56
25873,type2,p3,b/c,3.625
25874,type3,p3,nob/c,4.75
25875,type2,p1,b/c,4.25
25876,type1,p3,nob/c,0
25877,type2,p1,b/c,4.25
25878,type1,p3,nob/c,3.75
25879,type1,p4,nob/c,3.99
25880,type1,p3,nob/c,0
25881,type1,p3,nob/c,3.99
25882,type1,p3,nob/c,4.125
25883,type3,p4,nob/c,3.75
25884,type1,p4,nob/c,3.99
25885,type1,p4,nob/c,4.125
25886,type2,p3,b/c,3.875
25887,type1,p3,nob/c,5.625
25888,type2,p3,b/c,3.99
25889,type1,p3,nob/c,4.375
25890,type1,p1,nob/c,3.875
25891,type1,p1,nob/c,4.375
25892,type1,p1,nob/c,4.125
25893,type1,p4,nob/c,2.99
25894,type2,p3,b/c,4.75
25895,type3,p4,nob/c,0
25896,type1,p3,nob/c,5.5
25897,type1,p3,nob/c,4.625
25898,type2,p3,b/c,3.625
25899,type1,p3,nob/c,4.25
25900,type1,p4,nob/c,3.99
25901,type3,p3,nob/c,0
25902,type3,p3,nob/c,3.625
25903,type1,p2,nob/c,0
25904,type2,p1,b/c,4.75
25905,type1,p3,nob/c,3.99
25906,type1,p4,nob/c,4.125
25907,type1,p4,nob/c,3.125
25908,type1,p1,nob/c,4.375
25909,type1,p1,nob/c,3.5
25910,type1,p4,nob/c,0
25911,type1,p2,nob/c,0
25912,type1,p3,nob/c,4.25
25913,type2,p3,b/c,3.5
25914,type1,p4,nob/c,4
25915,type1,p4,nob/c,4.25
25916,type1,p1,nob/c,4.75
25917,type2,p4,b/c,3.625
25918,type1,p3,nob/c,4.75
25919,type1,p3,nob/c,4.5
25920,type1,p4,nob/c,3.25
25921,type1,p3,nob/c,3.625
25922,type3,p1,nob/c,3.75
25923,type1,p3,nob/c,3.125
25924,type3,p4,nob/c,3
25925,type1,p3,nob/c,0
25926,type1,p4,nob/c,3.875
25927,type3,p3,nob/c,4.25
25928,type1,p1,nob/c,0
25929,type3,p4,nob/c,0
25930,type1,p4,nob/c,0
25931,type1,p3,nob/c,3.625
25932,type1,p3,nob/c,4.25
25933,type1,p4,nob/c,3.99
25934,type1,p1,nob/c,4.125
25935,type1,p1,nob/c,3.99
25936,type2,p1,b/c,0
25937,type2,p4,b/c,3.75
25938,type1,p3,nob/c,3.99
25939,type1,p4,nob/c,0
25940,type1,p3,nob/c,4.875
25941,type1,p1,nob/c,0
25942,type1,p1,nob/c,4.625
25943,type1,p3,nob/c,3.625
25944,type1,p4,nob/c,3.75
25945,type1,p4,nob/c,3.125
25946,type1,p3,nob/c,4.625
25947,type1,p4,nob/c,2.99
25948,type1,p3,nob/c,4.875
25949,type1,p3,nob/c,3.625
25950,type1,p4,nob/c,3.625
25951,type1,p4,nob/c,4.125
25952,type2,p3,b/c,0
25953,type3,p4,nob/c,0
25954,type1,p3,nob/c,4.25
25955,type1,p3,nob/c,0
25956,type1,p1,nob/c,4.375
25957,type1,p3,nob/c,0
25958,type1,p1,nob/c,4.375
25959,type2,p1,b/c,3.75
25960,type1,p3,nob/c,5.25
25961,type1,p3,nob/c,0
25962,type1,p3,nob/c,3.75
25963,type1,p3,nob/c,4.5
25964,type1,p3,nob/c,3.99
25965,type1,p4,nob/c,3.75
25966,type1,p4,nob/c,0
25967,type1,p1,nob/c,0
25968,type2,p4,b/c,3.5
25969,type1,p1,nob/c,0
25970,type2,p3,b/c,4.25
25971,type1,p3,nob/c,3.875
25972,type3,p3,nob/c,0
25973,type2,p3,b/c,3.99
25974,type1,p1,nob/c,0
25975,type2,p4,b/c,0
25976,type1,p4,nob/c,0
25977,type1,p4,nob/c,3.75
25978,type1,p4,nob/c,3.99
25979,type2,p1,b/c,0
25980,type1,p4,nob/c,4.5
25981,type3,p3,nob/c,3.99
25982,type1,p3,nob/c,4.5
25983,type1,p3,nob/c,3.99
25984,type2,p3,b/c,4.375
25985,type1,p3,nob/c,4.25
25986,type2,p3,b/c,0
25987,type1,p4,nob/c,3.875
25988,type2,p3,b/c,4.5
25989,type1,p3,nob/c,4.25
25990,type1,p1,nob/c,4.99
25991,type1,p4,nob/c,3.875
25992,type1,p1,nob/c,5.5
25993,type1,p3,nob/c,4.375
25994,type1,p4,nob/c,4.375
25995,type1,p1,nob/c,4.625
25996,type1,p3,nob/c,0
25997,type1,p1,nob/c,4.25
25998,type1,p4,nob/c,0
25999,type1,p4,nob/c,0
26000,type1,p1,nob/c,0
26001,type3,p4,nob/c,3.5
26002,type1,p4,nob/c,0
26003,type1,p3,nob/c,3.99
26004,type1,p4,nob/c,4.125
26005,type1,p1,nob/c,4.75
26006,type1,p1,nob/c,4.875
26007,type1,p3,nob/c,2.99
26008,type1,p1,nob/c,3.875
26009,type1,p4,nob/c,3.75
26010,type1,p4,nob/c,3.75
26011,type1,p3,nob/c,3.875
26012,type1,p2,nob/c,0
26013,type1,p4,nob/c,4.125
26014,type1,p1,nob/c,4.375
26015,type3,p3,nob/c,4.99
26016,type1,p4,nob/c,3.5
26017,type1,p4,nob/c,3.625
26018,type1,p4,nob/c,3.125
26019,type1,p1,nob/c,4.18
26020,type1,p3,nob/c,0
26021,type1,p4,nob/c,3.99
26022,type1,p4,nob/c,3.99
26023,type1,p3,nob/c,3.75
26024,type1,p3,nob/c,0
26025,type3,p3,nob/c,0
26026,type2,p1,b/c,3.99
26027,type1,p3,nob/c,3.75
26028,type2,p4,b/c,3.625
26029,type1,p1,nob/c,3.875
26030,type1,p1,nob/c,3.25
26031,type1,p1,nob/c,3.75
26032,type3,p3,nob/c,4.625
26033,type1,p4,nob/c,4.5
26034,type2,p3,b/c,0
26035,type1,p4,nob/c,4
26036,type1,p3,nob/c,3.875
26037,type3,p1,nob/c,4.75
26038,type3,p1,nob/c,3.375
26039,type1,p3,nob/c,3.99
26040,type2,p3,b/c,3.75
26041,type1,p3,nob/c,3.75
26042,type1,p4,nob/c,3.75
26043,type1,p3,nob/c,4.75
26044,type1,p4,nob/c,3.375
26045,type3,p4,nob/c,2.99
26046,type1,p1,nob/c,3.625
26047,type1,p3,nob/c,4.75
26048,type2,p3,b/c,0
26049,type3,p3,nob/c,3.375
26050,type1,p4,nob/c,3.375
26051,type1,p4,nob/c,3.75
26052,type1,p3,nob/c,4.625
26053,type1,p1,nob/c,3.75
26054,type2,p1,b/c,3.25
26055,type1,p4,nob/c,0
26056,type1,p4,nob/c,3.625
26057,type1,p4,nob/c,3.25
26058,type2,p1,b/c,0
26059,type1,p4,nob/c,4.625
26060,type1,p1,nob/c,3.25
26061,type1,p4,nob/c,3.625
26062,type1,p3,nob/c,3.375
26063,type1,p4,nob/c,0
26064,type1,p4,nob/c,4.375
26065,type1,p1,nob/c,0
26066,type1,p4,nob/c,3.25
26067,type1,p4,nob/c,3.99
26068,type2,p3,b/c,4.625
26069,type1,p1,nob/c,4.5
26070,type1,p4,nob/c,3.375
26071,type1,p1,nob/c,4.125
26072,type1,p4,nob/c,0
26073,type1,p3,nob/c,4.625
26074,type1,p1,nob/c,4.125
26075,type1,p1,nob/c,0
26076,type1,p3,nob/c,4.375
26077,type1,p3,nob/c,0
26078,type1,p3,nob/c,3.625
26079,type1,p1,nob/c,0
26080,type1,p3,nob/c,3.875
26081,type2,p1,b/c,3.5
26082,type1,p3,nob/c,4.375
26083,type1,p3,nob/c,0
26084,type1,p3,nob/c,4.625
26085,type3,p4,nob/c,3.375
26086,type1,p3,nob/c,4
26087,type1,p1,nob/c,4.375
26088,type1,p3,nob/c,4.375
26089,type1,p3,nob/c,4.375
26090,type1,p4,nob/c,0
26091,type1,p4,nob/c,4.25
26092,type3,p3,nob/c,3.875
26093,type1,p4,nob/c,3.5
26094,type1,p4,nob/c,3.625
26095,type1,p3,nob/c,0
26096,type1,p4,nob/c,4.25
26097,type1,p4,nob/c,2.99
26098,type1,p2,nob/c,0
26099,type1,p1,nob/c,3.875
26100,type1,p4,nob/c,0
26101,type1,p1,nob/c,4.5
26102,type1,p1,nob/c,4
26103,type1,p1,nob/c,3.75
26104,type1,p3,nob/c,4.875
26105,type2,p3,b/c,3.125
26106,type1,p4,nob/c,4.875
26107,type1,p4,nob/c,3.25
26108,type2,p3,b/c,3.99
26109,type2,p3,b/c,4.5
26110,type1,p3,nob/c,4.99
26111,type1,p1,nob/c,3.625
26112,type1,p4,nob/c,0
26113,type1,p3,nob/c,4.5
26114,type1,p4,nob/c,3.99
26115,type1,p4,nob/c,3.5
26116,type1,p3,nob/c,0
26117,type1,p4,nob/c,4.875
26118,type1,p3,nob/c,4.25
26119,type1,p4,nob/c,0
26120,type1,p1,nob/c,4.625
26121,type1,p4,nob/c,0
26122,type1,p1,nob/c,4.125
26123,type2,p1,b/c,3.99
26124,type1,p3,nob/c,3.99
26125,type1,p3,nob/c,4.25
26126,type1,p1,nob/c,3.99
26127,type3,p3,nob/c,4.375
26128,type2,p4,b/c,3.625
26129,type1,p3,nob/c,3.99
26130,type1,p4,nob/c,3.375
26131,type1,p3,nob/c,5
26132,type3,p4,nob/c,2.875
26133,type1,p3,nob/c,0
26134,type1,p3,nob/c,4.375
26135,type2,p4,b/c,0
26136,type2,p3,b/c,3.375
26137,type2,p3,b/c,0
26138,type1,p1,nob/c,3.75
26139,type1,p4,nob/c,0
26140,type1,p2,nob/c,4.99
26141,type1,p1,nob/c,4.75
26142,type1,p4,nob/c,3.75
26143,type1,p4,nob/c,4.5
26144,type1,p4,nob/c,4.75
26145,type1,p3,nob/c,4.875
26146,type1,p1,nob/c,3.75
26147,type1,p4,nob/c,0
26148,type1,p3,nob/c,4.625
26149,type1,p3,nob/c,4.99
26150,type1,p2,nob/c,3.625
26151,type1,p3,nob/c,4.625
26152,type3,p1,nob/c,3.625
26153,type1,p3,nob/c,3.375
26154,type1,p1,nob/c,0
26155,type1,p1,nob/c,4
26156,type3,p3,nob/c,0
26157,type1,p3,nob/c,3.625
26158,type1,p1,nob/c,0
26159,type1,p3,nob/c,4.125
26160,type1,p3,nob/c,4.125
26161,type1,p3,nob/c,3.99
26162,type2,p4,b/c,4.75
26163,type1,p1,nob/c,4.875
26164,type1,p4,nob/c,0
26165,type2,p4,b/c,4.625
26166,type1,p1,nob/c,3.5
26167,type1,p4,nob/c,4.99
26168,type1,p3,nob/c,0
26169,type1,p4,nob/c,3.875
26170,type1,p3,nob/c,4.75
26171,type2,p3,b/c,0
26172,type1,p3,nob/c,4.125
26173,type1,p3,nob/c,3.99
26174,type1,p4,nob/c,4.375
26175,type1,p4,nob/c,4.625
26176,type1,p3,nob/c,4.5
26177,type2,p1,b/c,3.99
26178,type1,p4,nob/c,3.625
26179,type1,p4,nob/c,0
26180,type2,p4,b/c,0
26181,type1,p3,nob/c,4.5
26182,type1,p3,nob/c,3.625
26183,type1,p3,nob/c,4.99
26184,type1,p4,nob/c,4.99
26185,type1,p1,nob/c,3.99
26186,type1,p4,nob/c,3.75
26187,type1,p3,nob/c,0
26188,type1,p1,nob/c,0
26189,type1,p1,nob/c,4.18
26190,type1,p4,nob/c,4.5
26191,type1,p3,nob/c,4.625
26192,type3,p4,nob/c,3.75
26193,type1,p3,nob/c,3.75
26194,type3,p3,nob/c,2.875
26195,type1,p4,nob/c,3.125
26196,type1,p3,nob/c,0
26197,type1,p3,nob/c,0
26198,type1,p4,nob/c,3.25
26199,type1,p3,nob/c,3.625
26200,type1,p1,nob/c,0
26201,type1,p3,nob/c,5.19
26202,type1,p1,nob/c,4.99
26203,type1,p4,nob/c,3.625
26204,type1,p4,nob/c,3.75
26205,type1,p4,nob/c,4.99
26206,type1,p4,nob/c,3.5
26207,type1,p4,nob/c,3.75
26208,type3,p3,nob/c,0
26209,type1,p4,nob/c,4.125
26210,type1,p3,nob/c,4.875
26211,type1,p4,nob/c,3.875
26212,type3,p1,nob/c,4.125
26213,type1,p1,nob/c,3.99
26214,type1,p3,nob/c,4.56
26215,type1,p4,nob/c,4.25
26216,type1,p1,nob/c,4.125
26217,type2,p3,b/c,3.5
26218,type2,p4,b/c,0
26219,type2,p3,b/c,4.25
26220,type1,p3,nob/c,3.99
26221,type1,p4,nob/c,3.125
26222,type1,p4,nob/c,3.875
26223,type1,p3,nob/c,3.99
26224,type1,p3,nob/c,0
26225,type1,p4,nob/c,3.99
26226,type1,p4,nob/c,0
26227,type1,p4,nob/c,0
26228,type1,p4,nob/c,3.99
26229,type1,p4,nob/c,0
26230,type1,p3,nob/c,4.56
26231,type2,p1,b/c,0
26232,type2,p4,b/c,3.99
26233,type1,p4,nob/c,4.375
26234,type2,p4,b/c,3.625
26235,type1,p3,nob/c,3.99
26236,type1,p4,nob/c,3.625
26237,type1,p3,nob/c,4.56
26238,type1,p3,nob/c,4.375
26239,type1,p1,nob/c,3.99
26240,type1,p1,nob/c,4.99
26241,type1,p1,nob/c,0
26242,type1,p4,nob/c,3.375
26243,type1,p3,nob/c,4.25
26244,type1,p1,nob/c,4.18
26245,type1,p4,nob/c,4.875
26246,type1,p3,nob/c,0
26247,type1,p3,nob/c,3.875
26248,type1,p4,nob/c,3.75
26249,type2,p1,b/c,3.99
26250,type1,p1,nob/c,0
26251,type1,p1,nob/c,4
26252,type1,p4,nob/c,3.5
26253,type1,p1,nob/c,3.99
26254,type2,p3,b/c,3.625
26255,type1,p4,nob/c,3.875
26256,type1,p3,nob/c,4.75
26257,type1,p3,nob/c,3.25
26258,type3,p4,nob/c,0
26259,type2,p4,b/c,0
26260,type1,p3,nob/c,4.25
26261,type1,p3,nob/c,4.875
26262,type1,p4,nob/c,3.99
26263,type1,p4,nob/c,0
26264,type3,p3,nob/c,4.875
26265,type1,p1,nob/c,3.625
26266,type1,p4,nob/c,3.625
26267,type1,p4,nob/c,3.625
26268,type1,p4,nob/c,0
26269,type1,p4,nob/c,3.875
26270,type1,p3,nob/c,4.56
26271,type1,p3,nob/c,0
26272,type1,p4,nob/c,3.99
26273,type1,p4,nob/c,3.5
26274,type1,p1,nob/c,3.99
26275,type1,p4,nob/c,0
26276,type1,p3,nob/c,0
26277,type3,p3,nob/c,4.5
26278,type1,p3,nob/c,0
26279,type1,p1,nob/c,4.375
26280,type1,p1,nob/c,0
26281,type1,p1,nob/c,0
26282,type1,p3,nob/c,4.625
26283,type1,p4,nob/c,3.875
26284,type1,p4,nob/c,3.375
26285,type2,p1,b/c,4.5
26286,type1,p1,nob/c,0
26287,type1,p3,nob/c,4.75
26288,type1,p3,nob/c,0
26289,type1,p1,nob/c,4.375
26290,type1,p3,nob/c,4.18
26291,type1,p3,nob/c,0
26292,type2,p3,b/c,4.5
26293,type1,p4,nob/c,4.5
26294,type1,p3,nob/c,3.99
26295,type1,p3,nob/c,4.25
26296,type1,p1,nob/c,4.375
26297,type1,p3,nob/c,3.99
26298,type1,p3,nob/c,0
26299,type1,p3,nob/c,3.25
26300,type1,p1,nob/c,0
26301,type1,p1,nob/c,3.99
26302,type1,p4,nob/c,4.375
26303,type1,p3,nob/c,3.99
26304,type1,p1,nob/c,4.56
26305,type1,p4,nob/c,4
26306,type1,p4,nob/c,4.625
26307,type1,p4,nob/c,3.625
26308,type2,p1,b/c,4.375
26309,type2,p1,b/c,0
26310,type2,p3,b/c,0
26311,type1,p1,nob/c,0
26312,type1,p3,nob/c,4.625
26313,type1,p1,nob/c,3.625
26314,type2,p1,b/c,4.125
26315,type1,p4,nob/c,4.25
26316,type1,p4,nob/c,3.875
26317,type1,p4,nob/c,4.18
26318,type1,p4,nob/c,3.5
26319,type1,p4,nob/c,3.99
26320,type1,p4,nob/c,4.25
26321,type1,p4,nob/c,3.375
26322,type1,p3,nob/c,3.75
26323,type1,p1,nob/c,4.5
26324,type1,p3,nob/c,3.875
26325,type1,p1,nob/c,3.75
26326,type1,p4,nob/c,3.875
26327,type1,p4,nob/c,3.875
26328,type2,p4,b/c,0
26329,type1,p3,nob/c,3.99
26330,type1,p4,nob/c,3.5
26331,type1,p4,nob/c,3.75
26332,type1,p4,nob/c,3.75
26333,type1,p1,nob/c,4.56
26334,type1,p4,nob/c,0
26335,type1,p1,nob/c,3.99
26336,type1,p4,nob/c,4.375
26337,type2,p1,b/c,0
26338,type1,p3,nob/c,3.99
26339,type1,p3,nob/c,0
26340,type1,p3,nob/c,4.5
26341,type1,p3,nob/c,3.99
26342,type2,p4,b/c,3.375
26343,type1,p4,nob/c,4.25
26344,type1,p1,nob/c,3.75
26345,type1,p3,nob/c,3.875
26346,type1,p3,nob/c,4.56
26347,type3,p3,nob/c,0
26348,type1,p1,nob/c,3.875
26349,type1,p4,nob/c,4.25
26350,type2,p4,b/c,3.99
26351,type1,p1,nob/c,4.25
26352,type1,p4,nob/c,3.375
26353,type3,p4,nob/c,3.125
26354,type1,p3,nob/c,0
26355,type1,p3,nob/c,3.99
26356,type3,p4,nob/c,2.75
26357,type1,p1,nob/c,3.75
26358,type1,p4,nob/c,0
26359,type3,p4,nob/c,3.25
26360,type2,p2,b/c,3.5
26361,type3,p3,nob/c,0
26362,type2,p3,b/c,4.625
26363,type1,p3,nob/c,5.375
26364,type2,p1,b/c,0
26365,type2,p3,b/c,4.49
26366,type1,p3,nob/c,3.99
26367,type2,p3,b/c,4.875
26368,type1,p1,nob/c,3.75
26369,type1,p3,nob/c,3.75
26370,type1,p4,nob/c,3.5
26371,type1,p3,nob/c,4.75
26372,type1,p1,nob/c,4.375
26373,type2,p4,b/c,3.5
26374,type2,p3,b/c,4.99
26375,type1,p4,nob/c,4
26376,type1,p3,nob/c,4.5
26377,type2,p3,b/c,4.5
26378,type3,p3,nob/c,4.5
26379,type3,p4,nob/c,2.75
26380,type1,p3,nob/c,3.99
26381,type3,p1,nob/c,0
26382,type1,p4,nob/c,3.875
26383,type1,p3,nob/c,3.5
26384,type1,p1,nob/c,4.875
26385,type1,p4,nob/c,3.69
26386,type1,p4,nob/c,3.375
26387,type2,p1,b/c,3.75
26388,type2,p1,b/c,3.125
26389,type1,p3,nob/c,0
26390,type2,p4,b/c,3.75
26391,type1,p4,nob/c,0
26392,type1,p4,nob/c,3.875
26393,type2,p3,b/c,3.75
26394,type3,p1,nob/c,4.375
26395,type3,p3,nob/c,0
26396,type2,p4,b/c,0
26397,type1,p3,nob/c,3.99
26398,type2,p1,b/c,3.25
26399,type3,p4,nob/c,3.5
26400,type3,p4,nob/c,0
26401,type3,p3,nob/c,3.99
26402,type1,p1,nob/c,3.99
26403,type1,p4,nob/c,3.75
26404,type1,p1,nob/c,4.625
26405,type3,p3,nob/c,3.99
26406,type2,p3,b/c,0
26407,type1,p3,nob/c,3.5
26408,type1,p2,nob/c,3.75
26409,type1,p3,nob/c,3.99
26410,type1,p3,nob/c,3.99
26411,type1,p4,nob/c,0
26412,type1,p4,nob/c,3.5
26413,type1,p1,nob/c,4.375
26414,type2,p4,b/c,0
26415,type1,p3,nob/c,0
26416,type1,p2,nob/c,0
26417,type1,p1,nob/c,4.375
26418,type2,p3,b/c,3.99
26419,type1,p3,nob/c,4.375
26420,type1,p3,nob/c,0
26421,type1,p3,nob/c,4.99
26422,type1,p3,nob/c,4.99
26423,type1,p4,nob/c,4.375
26424,type1,p1,nob/c,3.625
26425,type2,p3,b/c,0
26426,type1,p3,nob/c,4
26427,type2,p4,b/c,3.75
26428,type1,p1,nob/c,4.25
26429,type1,p4,nob/c,4.75
26430,type1,p4,nob/c,3.875
26431,type2,p3,b/c,4.99
26432,type1,p3,nob/c,0
26433,type1,p3,nob/c,3.5
26434,type3,p4,nob/c,3.625
26435,type1,p4,nob/c,4
26436,type1,p4,nob/c,0
26437,type1,p3,nob/c,3.99
26438,type1,p3,nob/c,0
26439,type3,p3,nob/c,3.75
26440,type1,p3,nob/c,2.99
26441,type2,p3,b/c,4.125
26442,type1,p3,nob/c,3.99
26443,type2,p4,b/c,3.375
26444,type1,p1,nob/c,4.375
26445,type1,p4,nob/c,0
26446,type1,p4,nob/c,3.75
26447,type2,p3,b/c,2.75
26448,type1,p4,nob/c,4.5
26449,type1,p4,nob/c,3.625
26450,type1,p1,nob/c,4.56
26451,type1,p3,nob/c,3.75
26452,type1,p3,nob/c,4.125
26453,type1,p4,nob/c,4
26454,type1,p4,nob/c,3.875
26455,type3,p1,nob/c,5.125
26456,type2,p3,b/c,4.5
26457,type1,p3,nob/c,0
26458,type1,p3,nob/c,3.875
26459,type1,p4,nob/c,4.5
26460,type1,p3,nob/c,0
26461,type1,p2,nob/c,3.375
26462,type1,p1,nob/c,3.99
26463,type1,p4,nob/c,4.375
26464,type1,p3,nob/c,3.25
26465,type1,p3,nob/c,4.18
26466,type1,p3,nob/c,3.75
26467,type2,p1,b/c,0
26468,type1,p1,nob/c,4.18
26469,type2,p1,b/c,0
26470,type1,p2,nob/c,4.56
26471,type3,p3,nob/c,3.25
26472,type1,p3,nob/c,4.75
26473,type1,p3,nob/c,3.5
26474,type1,p3,nob/c,4.5
26475,type1,p3,nob/c,3.75
26476,type2,p1,b/c,4.125
26477,type2,p3,b/c,3.75
26478,type1,p4,nob/c,3.5
26479,type1,p4,nob/c,3.375
26480,type1,p3,nob/c,3.99
26481,type1,p4,nob/c,0
26482,type2,p3,b/c,4.75
26483,type1,p3,nob/c,0
26484,type1,p3,nob/c,3.625
26485,type1,p3,nob/c,4.625
26486,type1,p3,nob/c,4.5
26487,type1,p4,nob/c,0
26488,type1,p4,nob/c,3.5
26489,type1,p1,nob/c,4.75
26490,type2,p3,b/c,4.125
26491,type1,p4,nob/c,3.375
26492,type2,p4,b/c,2.875
26493,type1,p3,nob/c,4.875
26494,type1,p3,nob/c,0
26495,type1,p4,nob/c,4.25
26496,type1,p4,nob/c,4
26497,type1,p3,nob/c,4.5
26498,type1,p3,nob/c,0
26499,type1,p4,nob/c,3.875
26500,type2,p3,b/c,3.875
